wavelength_nm,c_ext,c_sca,c_abs
400,0.94701054328348411,350.08443392592557,0
405,0.97513709799172577,331.83747341399396,0
410,1.00385813705542,314.71055848044369,0
415,1.0331852521249971,298.62318715335897,0
420,1.06313036273578,283.50149312857144,0
425,1.0937057262507313,269.27762954856422,0
430,1.124923948174205,255.88921632957664,0
435,1.156797992852046,243.27884384411939,0
440,1.1893411945741192,231.39362665111139,0
445,1.22256726909608,220.18480173344682,0
450,1.2564903255980477,209.60736636962346,0
455,1.2911248790986536,199.61975134634775,0
460,1.3264858633438588,190.18352572473859,0
465,1.362588644190845,181.26312981422222,0
470,1.3994490335083043,172.82563339413579,0
475,1.4370833036154844,164.84051656095252,0
480,1.4755082022834396,157.2794708753139,0
485,1.5147409683231212,150.1162187431849,0
490,1.5547993477861397,143.32634919418979,0
495,1.5957016108053532,136.88716842156035,0
500,1.6374665691037802,130.77756362569755,0
505,1.6801135942017846,124.97787886007981,0
510,1.7236626363540122,119.46980171679922,0
515,1.7681342442491437,114.23625981162822,0
520,1.8135495855072634,109.26132613716626,0
525,1.8599304680113968,104.53013244901574,0
530,1.9072993621117365,100.02878993554727,0
535,1.9556794237429902,95.74431649795757,0
540,2.0050945184975277,91.664570035098919,0
545,2.0555692466991542,87.778187187968726,0
550,2.1071289695247901,84.074527052645209,0
555,2.1597998362238293,80.543619418593352,0
560,2.2136088124876392,77.176117132308335,0
565,2.2685837100244974,73.963252224783659,0
570,2.3247532173982646,70.896795475808176,0
575,2.3821469321922981,67.969019119046635,0
580,2.4407953945634739,65.172662419645505,0
585,2.5007301222548017,62.500899881072037,0
590,2.5619836471389088,59.94731186035014,0
595,2.6245895533687285,57.505857391072219,0
600,2.6885825172160427,55.170849031778637,0
605,2.7539983486831043,52.936929573726495,0
610,2.8208740349773858,50.799050456892765,0
615,2.8892477859447481,48.752451756455862,0
620,2.9591590815617792,46.792643614109245,0
625,3.030648721593904,44.915388999522712,0
630,3.1037588775321558,43.116687697192809,0
635,3.1785331469281055,41.392761422921659,0
640,3.2550166102535569,39.740039982327104,0
645,3.3332558904191392,38.155148391194821,0
650,3.4132992150940336,36.634894884217061,0
655,3.4951964819776156,35.176259744783884,0
660,3.5789993271830189,33.776384894061351,0
665,3.6647611969023957,32.432564182664279,0
670,3.7525374225341368,31.142234332852119,0
675,3.8423852994634959,29.90296648339114,0
680,3.9343641697000566,28.712458293071592,0
685,4.0285355085882513,27.568526562381702,0
690,4.124963015820879,26.469100336047646,0
695,4.2237127110002008,25.412214452085259,0
700,4.3248530340069937,24.396003505693354,0
